films,replacement_cost,rental_rate,rating,Rental_amount,Rental_Quantity,Category_name
"PANTHER REDS",22.99,4.99,NC-17,88.85,15,Sci-Fi
"RAGING AIRPLANE",18.99,4.99,R,84.87,13,Sci-Fi
"RANDOM GO",29.99,2.99,NC-17,31.91,9,Sci-Fi
"REIGN GENTLEMEN",29.99,2.99,PG-13,110.80,20,Sci-Fi
"SILVERADO GOLDFINGER",11.99,4.99,PG,91.88,12,Sci-Fi
"SOLDIERS EVOLUTION",27.99,4.99,R,41.92,8,Sci-Fi
"SPIRITED CASUALTIES",20.99,0.99,PG-13,19.89,11,Sci-Fi
"STALLION SUNDANCE",23.99,0.99,PG-13,8.93,7,Sci-Fi
"SUN CONFESSIONS",9.99,0.99,R,53.75,25,Sci-Fi
"TITANS JERK",11.99,4.99,PG,201.71,29,Sci-Fi
"TROJAN TOMORROW",9.99,2.99,PG,81.80,19,Sci-Fi
"UNFORGIVEN ZOOLANDER",15.99,0.99,PG,25.82,18,Sci-Fi
"VACATION BOONDOCK",23.99,2.99,R,96.79,21,Sci-Fi
"WEEKEND PERSONAL",26.99,2.99,R,74.82,18,Sci-Fi
"WHISPERER GIANT",24.99,4.99,PG-13,151.78,22,Sci-Fi
"WONDERLAND CHRISTMAS",19.99,4.99,PG,148.78,22,Sci-Fi
"ALADDIN CALENDAR",24.99,4.99,NC-17,131.77,23,Sports
"ANONYMOUS HUMAN",12.99,0.99,NC-17,17.87,13,Sports
"ARTIST COLDBLOODED",10.99,2.99,NC-17,69.84,16,Sports
"BUBBLE GROSSE",20.99,4.99,R,35.94,6,Sports
"CALIFORNIA BIRDS",19.99,4.99,NC-17,83.88,12,Sports
"CARIBBEAN LIBERTY",16.99,4.99,NC-17,71.91,9,Sports
"CHANCE RESURRECTION",22.99,2.99,R,141.73,27,Sports
"CONGENIALITY QUEST",21.99,0.99,PG-13,39.78,22,Sports
"CRANES RESERVOIR",12.99,2.99,NC-17,42.89,11,Sports
"CRUSADE HONEY",27.99,2.99,R,47.92,8,Sports
"DIVORCE SHINING",21.99,2.99,G,33.93,7,Sports
"DRIVER ANNIE",11.99,2.99,PG-13,69.82,18,Sports
"DROP WATERFRONT",20.99,4.99,R,48.91,9,Sports
"DUDE BLINDNESS",9.99,4.99,G,110.84,16,Sports
"DURHAM PANKY",14.99,4.99,R,144.74,26,Sports
"ELIZABETH SHANE",11.99,4.99,NC-17,51.90,10,Sports
"EVOLUTION ALTER",10.99,0.99,PG-13,26.88,12,Sports
"EXORCIST STING",17.99,2.99,G,52.87,13,Sports
"FLATLINERS KILLER",29.99,2.99,G,90.78,22,Sports
"FLIGHT LIES",22.99,4.99,R,68.88,12,Sports
"GLEAMING JAWBREAKER",25.99,2.99,NC-17,136.70,29,Sports
"GRACELAND DYNAMITE",26.99,4.99,R,37.94,6,Sports
"GROOVE FICTION",13.99,0.99,NC-17,41.82,18,Sports
"GUNFIGHTER MUSSOLINI",9.99,2.99,PG-13,68.88,12,Sports
"HOLES BRANNIGAN",27.99,4.99,PG,75.86,15,Sports
"HONEY TIES",29.99,0.99,R,68.81,19,Sports
"HYSTERICAL GRAIL",19.99,4.99,PG,87.85,15,Sports
"IMAGE PRINCESS",17.99,2.99,PG-13,76.86,14,Sports
"INSTINCT AIRPORT",21.99,2.99,PG,72.82,18,Sports
"JADE BUNCH",21.99,2.99,NC-17,62.82,18,Sports
"JOON NORTHWEST",23.99,0.99,NC-17,39.83,17,Sports
"KRAMER CHOCOLATE",24.99,2.99,R,47.91,9,Sports
"LESSON CLEOPATRA",28.99,0.99,NC-17,23.93,7,Sports
"LIBERTY MAGNIFICENT",27.99,2.99,G,75.88,12,Sports
"LOSER HUSTLER",28.99,4.99,PG,88.85,15,Sports
"MERMAID INSECTS",20.99,4.99,NC-17,99.84,16,Sports
"MILE MULAN",10.99,0.99,PG,41.87,13,Sports
"MOSQUITO ARMAGEDDON",22.99,0.99,G,25.85,15,Sports
"MOTHER OLEANDER",20.99,0.99,R,69.86,14,Sports
"MUMMY CREATURES",15.99,0.99,NC-17,58.84,16,Sports
"MUSSOLINI SPOILERS",10.99,2.99,G,15.95,5,Sports
"NEIGHBORS CHARADE",20.99,0.99,R,72.81,19,Sports
"NORTHWEST POLISH",24.99,2.99,PG,87.80,20,Sports
"NOVOCAINE FLIGHT",11.99,0.99,G,52.81,19,Sports
"PEACH INNOCENT",20.99,2.99,PG-13,84.85,14,Sports
"PEAK FOREVER",25.99,4.99,PG,105.80,20,Sports
"PHILADELPHIA WIFE",16.99,4.99,PG-13,118.78,23,Sports
"PICKUP DRIVING",23.99,2.99,G,98.84,16,Sports
"PIRATES ROXANNE",20.99,0.99,PG,51.78,21,Sports
"POSEIDON FOREVER",29.99,4.99,PG-13,100.83,17,Sports
"RECORDS ZORRO",11.99,4.99,PG,43.92,8,Sports
"RIDER CADDYSHACK",28.99,2.99,PG,48.89,11,Sports
"RIVER OUTLAW",29.99,0.99,PG-13,57.81,20,Sports
"ROSES TREASURE",23.99,4.99,PG-13,171.72,28,Sports
"SATISFACTION CONFIDENTIAL",26.99,4.99,G,129.83,17,Sports
"SATURDAY LAMBS",28.99,4.99,G,204.72,28,Sports
"SEABISCUIT PUNK",28.99,2.99,NC-17,95.74,26,Sports
"SECRETARY ROUGE",10.99,4.99,PG,112.82,18,Sports
"SENSE GREEK",23.99,4.99,R,47.93,7,Sports
"SHAKESPEARE SADDLE",26.99,2.99,PG-13,82.78,22,Sports
"SIERRA DIVIDE",12.99,0.99,NC-17,57.85,15,Sports
"SLIPPER FIDELITY",14.99,0.99,PG-13,30.84,16,Sports
"SMOOCHY CONTROL",18.99,0.99,R,14.88,12,Sports
"SQUAD FISH",14.99,2.99,PG,27.93,7,Sports
"STAR OPERATION",9.99,2.99,PG,86.79,21,Sports
"STEERS ARMAGEDDON",16.99,4.99,PG,85.85,15,Sports
"STRAIGHT HOURS",19.99,0.99,R,57.80,20,Sports
"TALENTED HOMICIDE",9.99,0.99,PG,39.71,29,Sports
"TIGHTS DAWN",14.99,0.99,R,60.74,26,Sports
"TOURIST PELICAN",18.99,4.99,PG-13,141.78,22,Sports
"TRADING PINOCCHIO",22.99,4.99,PG,147.75,25,Sports
"TUXEDO MILE",24.99,2.99,R,76.87,13,Sports
"VICTORY ACADEMY",19.99,0.99,PG-13,12.91,9,Sports
"BASIC EASY",18.99,2.99,PG-13,90.79,21,Travel
"BIRD INDEPENDENCE",14.99,4.99,G,63.89,11,Travel
"BOILED DARES",13.99,4.99,PG,77.85,15,Travel
"BORN SPINAL",17.99,4.99,PG,59.88,12,Travel
"BUCKET BROTHERHOOD",27.99,4.99,PG,180.66,34,Travel
"CASABLANCA SUPER",22.99,4.99,G,82.84,16,Travel
"CASSIDY WYOMING",19.99,2.99,NC-17,23.94,6,Travel
"COMA HEAD",10.99,4.99,NC-17,137.74,26,Travel
"COMFORTS RUSH",19.99,2.99,NC-17,84.83,17,Travel
"CONTACT ANONYMOUS",10.99,2.99,PG-13,85.74,26,Travel
"DESPERATE TRAINSPOTTING",29.99,4.99,G,31.94,6,Travel
"DISCIPLE MOTHER",17.99,0.99,PG,41.81,19,Travel
"DRUMLINE CYCLONE",14.99,0.99,G,38.89,11,Travel
"ENOUGH RAGING",16.99,2.99,NC-17,57.82,18,Travel
"ESCAPE METROPOLIS",20.99,2.99,R,80.75,25,Travel
"EXPECATIONS NATURAL",26.99,4.99,PG-13,110.82,18,Travel
"FACTORY DRAGON",9.99,0.99,PG-13,32.83,17,Travel
"FELLOWSHIP AUTUMN",9.99,4.99,NC-17,149.74,26,Travel
"FROGMEN BREAKING",17.99,0.99,R,16.90,10,Travel
"FUGITIVE MAGUIRE",28.99,4.99,R,56.89,11,Travel
"GAMES BOWFINGER",17.99,4.99,PG-13,72.86,14,Travel
"HAUNTED ANTITRUST",13.99,4.99,NC-17,31.94,6,Travel
"HORROR REIGN",25.99,0.99,R,87.73,27,Travel
"IGBY MAKER",12.99,4.99,NC-17,99.81,19,Travel
"ITALIAN AFRICAN",24.99,4.99,G,38.94,6,Travel
"KICK SAVANNAH",10.99,0.99,PG-13,61.80,20,Travel
"LEATHERNECKS DWARFS",21.99,2.99,PG-13,27.93,7,Travel
"LIAISONS SWEET",15.99,4.99,PG,131.78,22,Travel
"LOCK REAR",10.99,2.99,R,50.84,16,Travel
"MADIGAN DORADO",20.99,4.99,R,59.90,10,Travel
"MOULIN WAKE",20.99,0.99,PG-13,51.84,16,Travel
"MUSCLE BRIGHT",23.99,2.99,G,95.70,30,Travel
"OTHERS SOUP",18.99,2.99,PG,79.77,23,Travel
"OUTLAW HANKY",17.99,4.99,PG-13,73.86,14,Travel
"PAPI NECKLACE",9.99,0.99,PG,28.92,8,Travel
"SHANE DARKNESS",22.99,2.99,PG,55.86,14,Travel
"SHANGHAI TYCOON",20.99,2.99,PG,43.86,14,Travel
"SHAWSHANK BUBBLE",20.99,4.99,PG,109.81,19,Travel
"SHINING ROSES",12.99,0.99,G,22.92,8,Travel
"SMILE EARRING",29.99,2.99,G,58.90,10,Travel
"SPEED SUIT",19.99,4.99,PG-13,49.91,9,Travel
"STONE FIRE",19.99,0.99,G,39.89,11,Travel
"SUPERFLY TRIP",27.99,0.99,PG,17.90,10,Travel
"SWEET BROTHERHOOD",27.99,2.99,R,81.85,15,Travel
"TEEN APOLLO",25.99,4.99,G,127.83,17,Travel
"TOMATOES HELLFIGHTERS",23.99,0.99,PG,19.86,14,Travel
"TRAFFIC HOBBIT",13.99,4.99,G,24.95,5,Travel
"TROUBLE DATE",13.99,2.99,PG,79.78,23,Travel
"VALENTINE VANISHING",9.99,0.99,PG-13,16.88,12,Travel
"WINDOW SIDE",25.99,2.99,R,59.88,12,Travel
"WOLVES DESIRE",13.99,0.99,NC-17,24.79,21,Travel
"WORKER TARZAN",26.99,2.99,R,50.85,15,Travel
"WORKING MICROCOSMOS",22.99,4.99,R,163.75,25,Travel
